Taxname,Taxid,GI,Accession,DNA type,Length,GC,Random
Pseudomonas stutzeri ATCC 17588,96563,338799449,CP002881.1,Genome,4547930,63.92842458,52418
Pseudomonas stutzeri CCUG 29243,1196835,390981275,CP003677.1,Genome,4709064,62.6655318339,6933
Pseudomonas stutzeri DSM 10701,1123519,395806679,CP003725.1,Genome,4174118,63.2135699087,1273
Pseudomonas stutzeri DSM 4166,996285,327478612,CP002622.1,Genome,4689946,64.0306945965,1553
Pseudomonas stutzeri RCH2,644801,431823496,CP003071.1,Genome,4575057,62.5217128442,19853
Pseudomonas stutzeri RCH2,644801,431827728,CP003072.1,Plasmid,12763,53.850975476,19853
Pseudomonas stutzeri RCH2,644801,431827745,CP003073.1,Plasmid,9865,60.3345159655,19853
Pseudomonas stutzeri RCH2,644801,431827761,CP003074.1,Plasmid,2804,61.8402282454,19853
Pseudomonas syringae pv. phaseolicola 1448A,264730,71553748,CP000058.1,Genome,5928787,58.0150206105,56489
Pseudomonas syringae pv. phaseolicola 1448A,264730,71558731,CP000059.1,Plasmid,131950,54.1083743842,56489
Pseudomonas syringae pv. phaseolicola 1448A,264730,71558859,CP000060.1,Plasmid,51711,55.9590802731,56489
Pseudomonas syringae pv. syringae B728a,205918,63253978,CP000075.1,Genome,6093698,59.2328008378,47134
Pseudomonas syringae pv. tomato str. DC3000,223283,28856110,AE016853.1,Genome,6397126,58.3988809975,96507
Pseudomonas syringae pv. tomato str. DC3000,223283,28856039,AE016854.1,Plasmid,67473,56.1661701718,96507
Pseudomonas syringae pv. tomato str. DC3000,223283,28855971,AE016855.1,Plasmid,73661,55.1458709493,96507
Pseudomonas sp. TKP,1415630,566060467,CP006852.1,Genome,7012672,60.4866304884,64953
Pseudomonas sp. VLB120,69328,556072477,CP003961.1,Genome,5644569,61.8283876059,52726
Pseudomonas sp. VLB120,69328,556042023,CP003962.1,Plasmid,321653,56.7680077599,52726
Salmonella bongori NCTC 12419,218493,339511397,FR877557.1,Genome,4460105,51.3296884266,8564
Salmonella bongori N268-08,1197719,526125113,CP006608.1,Genome,4683551,51.3411511906,6144
Salmonella bongori N268-08,1197719,526130078,CP006609.1,Plasmid,89986,50.1666925966,6144
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-",41514,160863331,CP000880.1,Genome,4600800,51.376738828,84278
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,321314,62126203,AE017220.1,Genome,4755700,52.1566961751,29824
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,321314,45359286,AY509003.1,Plasmid,49558,52.114693894,29824
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,321314,45758072,AY509004.1,Plasmid,138742,51.3089042972,29824
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,295319,56126533,CP000026.1,Genome,4585229,52.1643520967,44019
"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736",866913,523821078,CP006602.1,Genome,4822189,52.2492378461,62663
Salmonella enterica subsp. enterica serovar Agona str. 24249,1406860,563346448,CP006876.1,Genome,4762840,52.1125211009,72674
Salmonella enterica subsp. enterica serovar Agona str. SL483,454166,197211002,CP001137.1,Plasmid,37978,40.7446416346,82163
Salmonella enterica subsp. enterica serovar Agona str. SL483,454166,197211055,CP001138.1,Genome,4798660,52.0841860019,82163
Salmonella enterica subsp. enterica serovar Bovismorbificans str. 3114,1320309,560176986,HF969015.2,Genome,4680283,52.1607347248,95826
Salmonella enterica subsp. enterica serovar Bovismorbificans str. 3114,1320309,537739812,HF969016.1,Plasmid,93046,52.6556756873,95826
Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050,1271863,523815970,CP006055.1,Genome,4977480,52.2417367825,43605
Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050,1271863,523820642,CP006056.1,Plasmid,166668,45.2102383181,43605
Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050,1271863,523820942,CP006057.1,Plasmid,122863,48.3742054158,43605
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,439851,197936152,CP001143.1,Plasmid,74551,48.6338211426,90646
Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853,439851,197936256,CP001144.1,Genome,4842908,52.1796201786,90646
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,550537,206707319,AM933172.1,Genome,4685848,52.1673131523,10365
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,550538,205271127,AM933173.1,Genome,4658697,52.2045541919,53664
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. CDC1983-67,1225522,537372315,CP003786.1,Genome,4623089,52.2280881895,75178
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078,1081093,357204415,CP003047.1,Genome,4637962,52.2092246551,8938
Salmonella enterica subsp. enterica serovar Heidelberg str. 41578,1124936,523795581,CP004086.1,Genome,4793479,52.1784908206,92344
Salmonella enterica subsp. enterica serovar Heidelberg str. 41578,1124936,523800110,CP004087.1,Plasmid,117929,51.7709808444,92344
Salmonella enterica subsp. enterica serovar Heidelberg str. 41578,1124936,523800930,CP004088.1,Plasmid,35297,41.502110661,92344
Salmonella enterica subsp. enterica serovar Heidelberg str. 41578,1124936,523802110,CP004857.1,Plasmid,4773,53.3207626231,92344
Salmonella enterica subsp. enterica serovar Heidelberg str. B182,1160717,383796300,CP003416.1,Genome,4750465,52.1894803982,52581
Salmonella enterica subsp. enterica serovar Heidelberg str. B182,1160717,383800589,CP003417.1,Plasmid,37581,41.2123147335,52581
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069,1271864,559187611,CP005389.2,Plasmid,110363,52.3671882787,36834
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069,1271864,559187652,CP005390.2,Genome,4783943,52.155638142,36834
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069,1271864,559188161,CP005391.2,Plasmid,37679,41.1980148093,36834
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,454169,194405479,CP001118.1,Plasmid,91374,50.3184713376,17238
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,454169,194405605,CP001119.1,Plasmid,3373,55.1141417136,17238
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,454169,194405610,CP001120.1,Genome,4888768,52.0865584131,17238
Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992,1267753,451908532,CP004026.1,Plasmid,24012,48.4049641846,93227
Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992,1267753,451908558,CP004027.1,Genome,4634161,52.2100116936,93227
Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992,1267753,451912923,CP004028.1,Plasmid,17094,48.2683982684,93227
Salmonella enterica subsp. enterica serovar Newport str. SL254,423368,133905002,CP000604.1,Plasmid,176473,52.8177114913,53327
Salmonella enterica subsp. enterica serovar Newport str. SL254,423368,194400862,CP001112.1,Plasmid,3605,43.0235783634,53327
Salmonella enterica subsp. enterica serovar Newport str. SL254,423368,194400866,CP001113.1,Genome,4827641,52.216724483,53327
Salmonella enterica subsp. enterica serovar Newport str. USMARC-S3124.1,877468,528171613,CP006631.1,Genome,4915960,52.1397244892,83800
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601,554290,197092687,FM200053.1,Genome,4581797,52.1836737856,87615
Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7,1016998,161361677,CP000886.1,Genome,4858887,52.1097527067,62266
Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594,476213,224466365,CP000857.1,Genome,4833080,52.1632375214,40755
Salmonella enterica subsp. enterica serovar Paratyphi C strain RKS4594,476213,224470944,CP000858.1,Plasmid,55414,52.7502075288,40755
Salmonella enterica subsp. enterica serovar Pullorum str. S06004,1298917,529190224,CP006575.1,Genome,4682599,52.1379473237,51491
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633,439843,194709275,CP001125.1,Plasmid,110227,53.9840510946,83866
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633,439843,194709398,CP001126.1,Plasmid,4585,47.4809160305,83866
Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633,439843,194709404,CP001127.1,Genome,4709075,52.1741318624,83866
Salmonella enterica subsp. enterica serovar Thompson str. RM6836,1064551,548713695,CP006717.1,Genome,4707648,52.2460897671,89757
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,588858,267990039,CP001362.1,Plasmid,93832,53.1151419558,59655
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,588858,267991652,CP001363.1,Genome,4870265,52.1963794578,59655
Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,909946,323128316,CP002487.1,Genome,4878013,52.1833582649,81972
Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,909946,323132942,CP002488.1,Plasmid,93842,53.111613137,81972
Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,909946,323133059,CP002489.1,Plasmid,86908,50.1864040134,81972
Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,909946,323133150,CP002490.1,Plasmid,8688,60.9576427256,81972
Salmonella enterica subsp. enterica serovar Typhimurium str. 798,1008297,380461645,CP003386.1,Genome,4876219,52.1769633398,99932
Salmonella enterica subsp. enterica serovar Typhimurium str. 798,1008297,380467436,CP003387.1,Plasmid,93877,53.1035290859,99932
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,216597,301156631,FQ312003.1,Genome,4878012,52.1833279623,82529
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,216597,381139501,HE654724.1,Plasmid,93842,53.111613137,82529
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,216597,381139603,HE654725.1,Plasmid,86908,50.1864040134,82529
Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,216597,381139700,HE654726.1,Plasmid,8688,60.9576427256,82529
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240,718274,312910970,AP011957.1,Genome,4954814,52.2081353609,91868
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240,718274,312915693,AP011958.1,Plasmid,106510,53.4691578256,91868
Salmonella enterica subsp. enterica serovar Typhimurium str. T000240,718274,312915833,AP011959.1,Plasmid,8670,60.9457900807,91868
Salmonella enterica subsp. enterica serovar Typhimurium str. U288,1171376,482539349,CP003836.1,Genome,4852606,52.1833010964,65044
Salmonella enterica subsp. enterica serovar Typhimurium str. U288,1171376,482544863,CP004058.1,Plasmid,148711,52.9516982604,65044
Salmonella enterica subsp. enterica serovar Typhimurium str. U288,1171376,482545064,CP004059.1,Plasmid,11067,61.7601879461,65044
Salmonella enterica subsp. enterica serovar Typhimurium str. U288,1171376,482546962,CP004060.1,Plasmid,4675,50.9946524064,65044
Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,568708,261245233,FN424405.1,Genome,4879400,52.1900848465,2818
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,990282,332986951,CP002614.1,Genome,4817868,52.2062870963,63208
Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1,990282,332991407,CP002615.1,Plasmid,93277,53.0291497368,63208
Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921,1271862,523806722,CP006048.1,Genome,4859931,52.1734773601,65751
Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921,1271862,523811284,CP006050.1,Plasmid,221009,51.7426892118,65751
Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921,1271862,523811518,CP006051.1,Plasmid,4675,52.9197860963,65751
Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921,1271862,523811524,CP006052.1,Plasmid,3609,43.2529786644,65751
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12,1132507,374352002,CP003278.1,Genome,4768352,52.0639415882,27187
Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12,1132507,374356693,CP003279.1,Plasmid,181431,46.4297721999,27187
Salmonella enterica subsp. enterica serovar Typhi str. Ty21a,527001,485080253,CP002099.1,Genome,4791958,52.0416289124,53986
Salmonella enterica subsp. enterica serovar Typhi str. Ty2,209261,29140506,AE014613.1,Genome,4791961,52.0515922396,72726
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084287,FR775188.1,Contig,1133,64.1659311562,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084289,FR775189.1,Contig,702,65.3846153846,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084290,FR775190.1,Contig,950,63.4736842105,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084291,FR775191.1,Contig,227697,53.6796707906,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084503,FR775192.1,Contig,85076,51.4140298086,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084584,FR775193.1,Contig,67379,50.9016162306,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084644,FR775194.1,Contig,86645,52.731259738,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084732,FR775195.1,Contig,196931,53.1343465478,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084926,FR775196.1,Contig,366,53.825136612,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320084927,FR775197.1,Contig,100719,51.6665177375,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085022,FR775198.1,Contig,417,49.1606714628,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085023,FR775199.1,Contig,11212,46.6107741705,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085034,FR775200.1,Contig,157051,52.7357355254,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085185,FR775201.1,Contig,12386,55.2963022768,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085196,FR775202.1,Contig,29449,50.840436008,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085224,FR775203.1,Contig,31901,52.6284442494,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085251,FR775204.1,Contig,7643,48.7766583802,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085261,FR775205.1,Contig,6058,46.2528887422,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085269,FR775206.1,Contig,32990,51.5944225523,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085303,FR775207.1,Contig,78136,52.615951674,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085373,FR775208.1,Contig,5247,48.9422527158,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085380,FR775209.1,Contig,1582,37.4841972187,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085382,FR775210.1,Contig,96329,51.9656593549,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085495,FR775211.1,Contig,3248,47.4445812808,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085501,FR775212.1,Contig,17669,53.8513781199,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085523,FR775213.1,Contig,64694,51.7636875135,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085595,FR775214.1,Contig,680,57.5,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085596,FR775215.1,Contig,2286,58.3989501312,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085597,FR775216.1,Contig,5983,43.9244526157,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085603,FR775217.1,Contig,131230,51.5682389697,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085741,FR775218.1,Contig,305,53.1147540984,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085742,FR775219.1,Contig,107078,50.7106968752,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085855,FR775220.1,Contig,39232,50.2446982055,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320085891,FR775221.1,Contig,388271,50.6071790064,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320086298,FR775222.1,Contig,118417,51.8979538411,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320086427,FR775223.1,Contig,425,44,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320086428,FR775224.1,Contig,293530,51.9725411372,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320086708,FR775225.1,Contig,107917,53.3493332839,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320086808,FR775226.1,Contig,52810,49.6818784321,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320086871,FR775227.1,Contig,17569,48.3408275941,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320086895,FR775228.1,Contig,107084,54.0155392029,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320086998,FR775229.1,Contig,11127,53.6532758156,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087007,FR775230.1,Contig,105723,53.667603076,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087092,FR775231.1,Contig,27329,50.7885396465,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087125,FR775232.1,Contig,49242,54.1590512164,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087175,FR775233.1,Contig,54435,52.3762285294,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087228,FR775234.1,Contig,298790,52.3685531644,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087538,FR775235.1,Contig,2255,49.0909090909,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087541,FR775236.1,Contig,253936,52.4545554785,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087798,FR775237.1,Contig,44575,51.863151991,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087843,FR775238.1,Contig,28804,50.7985002083,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320087890,FR775239.1,Contig,358802,53.3639723301,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088239,FR775240.1,Contig,32931,53.2082232547,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088267,FR775241.1,Contig,48780,52.2427224272,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088314,FR775242.1,Contig,91979,53.0142749976,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088398,FR775243.1,Contig,145936,52.2777107773,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088536,FR775244.1,Contig,4695,50.0319488818,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088540,FR775245.1,Contig,63517,53.3668151833,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088607,FR775246.1,Contig,353015,51.5462515757,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088940,FR775247.1,Contig,2143,47.5501633224,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088944,FR775248.1,Contig,5732,44.9930216329,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320088950,FR775249.1,Contig,149763,51.7711317215,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320089089,FR775250.1,Contig,3300,51.1515151515,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320089093,FR775251.1,Contig,3558,58.1787521079,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320089095,FR775252.1,Contig,423,52.7186761229,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320089096,FR775253.1,Contig,1149,55.7006092254,3671
Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,936157,320089180,FR775255.1,Contig,81965,48.7561764168,3671
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,85569,545006446,HF937208.1,Genome,4933631,52.1133623492,63559
Salmonella enterica subsp. enterica serovar Typhimurium str. DT104,85569,545010944,HF937209.1,Plasmid,94034,53.1286555927,63559
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,16445344,AE006468.1,Genome,4857432,52.2215030493,61539
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287,16445224,AE006471.1,Plasmid,93939,53.128093763,61539
Salmonella enterica subsp. enterica serovar Typhi str. CT18,220341,30407157,AL513382.1,Genome,4809037,52.0927162756,92813
Salmonella enterica subsp. enterica serovar Typhi str. CT18,220341,16505740,AL513383.1,Plasmid,218160,47.5811331133,92813
Salmonella enterica subsp. enterica serovar Typhi str. CT18,220341,16505981,AL513384.1,Plasmid,106516,50.6064816553,92813
Shigella boydii CDC 3083-94,344609,187426707,CP001058.1,Plasmid,2089,47.1517472475,86274
Shigella boydii CDC 3083-94,344609,187426711,CP001059.1,Plasmid,33103,41.3618101078,86274
Shigella boydii CDC 3083-94,344609,187426764,CP001060.1,Plasmid,5114,46.3629253031,86274
Shigella boydii CDC 3083-94,344609,187763155,CP001061.1,Plasmid,7437,49.1058222402,86274
Shigella boydii CDC 3083-94,344609,187426769,CP001062.1,Plasmid,210919,46.0717147341,86274
Shigella boydii CDC 3083-94,344609,187427012,CP001063.1,Genome,4615997,51.3327456669,86274
Shigella boydii Sb227,300268,81244029,CP000036.1,Genome,4519823,51.2128019172,57329
Shigella boydii Sb227,300268,81248166,CP000037.1,Plasmid,126697,47.4099623511,57329
Shigella dysenteriae 1617,754093,558570689,CP006736.1,Genome,4302517,51.2345448025,36680
Shigella dysenteriae 1617,754093,558576836,CP006737.1,Plasmid,177681,44.9316471654,36680
Shigella dysenteriae Sd197,300267,81239530,CP000034.1,Genome,4369232,51.2496933099,21886
Shigella dysenteriae Sd197,300267,81243805,CP000035.1,Plasmid,182726,44.8042424176,21886
Shigella dysenteriae Sd197,300267,141327048,CP000640.1,Plasmid,8953,39.6515134592,21886
Shigella flexneri 2002017,591020,281599365,CP001383.1,Genome,4650856,50.8500800713,56995
Shigella flexneri 2002017,591020,281603741,CP001384.1,Plasmid,223364,45.9004136745,56995
Shigella flexneri 2002017,591020,281604044,CP001385.1,Plasmid,6850,44.0291970803,56995
Shigella flexneri 2002017,591020,281604056,CP001386.1,Plasmid,6200,52.5806451613,56995
Shigella flexneri 2002017,591020,281604065,CP001387.1,Plasmid,4042,52.6224641267,56995
Shigella flexneri 2002017,591020,281604070,CP001388.1,Plasmid,3180,45.0314465409,56995
Shigella flexneri 2a str. 2457T,198215,30043918,AE014073.1,Genome,4599354,50.9057576347,7253
Shigella flexneri 2a str. 301,198214,342360612,AE005674.2,Genome,4607202,50.8894769537,57789
Shigella flexneri 2a str. 301,198214,18462515,AF386526.1,Plasmid,221618,45.7670405833,57789
Shigella flexneri 5 str. 8401,373384,110613622,CP000266.1,Genome,4574284,50.9177392571,31444
Shigella sonnei Ss046,300269,73854091,CP000038.1,Genome,4825265,51.0097580133,60356
Shigella sonnei Ss046,300269,73858315,CP000039.1,Plasmid,214396,45.2662363104,60356
Shigella sonnei Ss046,300269,141327069,CP000641.1,Plasmid,8401,55.4100702297,60356
Shigella sonnei Ss046,300269,141327082,CP000642.1,Plasmid,5153,45.759751601,60356
Shigella sonnei Ss046,300269,141327103,CP000643.1,Plasmid,2101,47.1204188482,60356
Shigella sonnei 53G,216599,374269796,HE616528.1,Genome,4988504,50.9833609435,25322
Shigella sonnei 53G,216599,374269797,HE616529.1,Plasmid,215774,45.1954359654,25322
Shigella sonnei 53G,216599,374269798,HE616530.1,Plasmid,5153,45.7403454298,25322
Shigella sonnei 53G,216599,374269799,HE616531.1,Plasmid,2089,47.1996170416,25322
Shigella sonnei 53G,216599,374269800,HE616532.1,Plasmid,8953,39.6515134592,25322
Staphylococcus aureus 04-02981,703339,311222926,CP001844.2,Genome,2821452,32.8966078459,37062
Staphylococcus aureus 08BA02176,1229492,404438823,CP003808.1,Genome,2782313,32.9404348109,21362
Staphylococcus aureus subsp. aureus 11819-97,1123523,364521258,CP003193.1,Plasmid,22317,29.0585652193,98889
Staphylococcus aureus subsp. aureus 11819-97,1123523,364521287,CP003194.1,Genome,2846546,32.8765106905,98889
Staphylococcus aureus subsp. aureus 55/2053,585143,532126991,CP002388.1,Genome,2756919,32.8087259727,47405
Staphylococcus aureus subsp. aureus 55/2053,585143,532127363,CP002389.1,Plasmid,20449,35.0237175412,47405
Staphylococcus aureus subsp. aureus 6850,1392476,537376647,CP006706.1,Genome,2736560,32.7833484375,42023
Staphylococcus aureus subsp. aureus MRSA252,282458,49240382,BX571856.1,Genome,2902619,32.8071648398,70630
Staphylococcus aureus subsp. aureus MSSA476,282459,49243355,BX571857.1,Genome,2799802,32.8503587039,33288
Staphylococcus aureus subsp. aureus MSSA476,282459,49168429,BX571858.1,Plasmid,20652,28.3652914972,33288
Staphylococcus aureus Bmb9393,1321369,520996365,CP005288.1,Genome,2980548,32.9150209961,98317
Staphylococcus aureus Bmb9393,1321369,520999017,CP005289.1,Plasmid,2908,29.401650619,98317
Staphylococcus aureus CA-347,1323661,514002521,CP006044.1,Genome,2850503,32.9530963483,98706
Staphylococcus aureus CA-347,1323661,514018394,CP006045.1,Plasmid,24653,28.6658824484,98706
Staphylococcus aureus subsp. aureus CN1,1193576,537389513,CP003979.1,Genome,2751266,32.7968651523,54862
Staphylococcus aureus subsp. aureus CN1,1193576,537392233,CP003980.1,Plasmid,3332,29.5318127251,54862
Staphylococcus aureus subsp. aureus CN1,1193576,537392238,CP003981.1,Plasmid,2472,30.8252427184,54862
Staphylococcus aureus subsp. aureus COL,93062,66775708,CP000045.2,Plasmid,4440,30.045045045,2376
Staphylococcus aureus subsp. aureus COL,93062,57284222,CP000046.1,Genome,2809422,32.8175332862,2376
Staphylococcus aureus subsp. aureus ECT-R 2,889933,312828563,FR714927.1,Genome,2729540,32.8575877254,38490
Staphylococcus aureus subsp. aureus ECT-R 2,889933,312831053,FR714928.1,Plasmid,2241,30.655957162,38490
Staphylococcus aureus subsp. aureus ECT-R 2,889933,312831055,FR714929.1,Plasmid,27271,27.1680539768,38490
Staphylococcus aureus subsp. aureus ED133,685039,298693322,CP001996.1,Genome,2832478,32.9162662517,294
Staphylococcus aureus subsp. aureus ED98,681288,262073980,CP001781.1,Genome,2824404,32.8375827254,88841
Staphylococcus aureus subsp. aureus ED98,681288,262076642,CP001782.1,Plasmid,1442,35.5755894591,88841
